pickup_zone,dropoff_zone,pickup_date,passenger_count,trip_distance,total_amount,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_datetime
Morningside Heights,Lincoln Square West,2023-01-01,1.0,2.58,24.18,40.81,-73.96,40.773,-73.984,2023-01-01
Bloomingdale,Central Park,2023-01-01,1.0,1.81,15.84,40.797,-73.97,40.7812,-73.9665,2023-01-01
Central Harlem,Upper West Side North,2023-01-01,1.0,1.3,10.2,40.8116,-73.9465,40.787,-73.975,2023-01-01
Central Harlem,East Harlem North,2023-01-01,1.0,1.1,8.0,40.8116,-73.9465,40.798,-73.937,2023-01-01
Central Harlem,Yorkville East,2023-01-01,1.0,2.78,22.95,40.8116,-73.9465,0.0,0.0,2023-01-01
Park Slope,Chinatown,2023-01-01,2.0,3.8,29.2,0.0,0.0,0.0,0.0,2023-01-01
Bloomingdale,East Harlem South,2023-01-01,1.0,1.88,16.7,40.797,-73.97,0.0,0.0,2023-01-01
Central Harlem,Morningside Heights,2023-01-01,2.0,1.11,10.7,40.8116,-73.9465,40.81,-73.96,2023-01-01
Bloomingdale,Lenox Hill East,2023-01-01,1.0,4.22,32.95,40.797,-73.97,0.0,0.0,2023-01-01
Williamsburg (North Side),Union Sq,2023-01-01,2.0,4.8,32.05,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Lenox Hill East,2023-01-01,1.0,1.99,19.98,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Lower East Side,2023-01-01,1.0,7.08,38.55,0.0,0.0,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,Williamsburg (North Side),2023-01-01,1.0,3.23,24.24,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Penn Station/Madison Sq West,2023-01-01,1.0,5.91,41.15,0.0,0.0,0.0,0.0,2023-01-01
Red Hook,Sheepshead Bay,2023-01-01,1.0,11.3,34.5,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst/Maspeth,Jackson Heights,2023-01-01,1.0,1.3,15.0,0.0,0.0,0.0,0.0,2023-01-01
Fort Greene,East Chelsea,2023-01-01,1.0,8.28,54.55,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Woodside,2023-01-01,1.0,2.02,15.3,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,East Harlem South,2023-01-01,1.0,0.96,11.1,40.8116,-73.9465,0.0,0.0,2023-01-01
East Harlem South,East Harlem North,2023-01-01,1.0,0.96,12.12,0.0,0.0,40.798,-73.937,2023-01-01
Central Harlem North,Central Harlem North,2023-01-01,1.0,0.53,8.3,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,Bloomingdale,2023-01-01,4.0,1.51,13.9,40.8116,-73.9465,40.797,-73.97,2023-01-01
Central Harlem North,Central Harlem North,2023-01-01,3.0,0.88,9.7,0.0,0.0,0.0,0.0,2023-01-01
Morningside Heights,Washington Heights South,2023-01-01,1.0,2.48,22.56,40.81,-73.96,0.0,0.0,2023-01-01
Williamsburg (North Side),Long Island City/Queens Plaza,2023-01-01,1.0,3.53,26.76,0.0,0.0,0.0,0.0,2023-01-01
Forest Hills,Kew Gardens Hills,2023-01-01,1.0,2.25,16.7,0.0,0.0,0.0,0.0,2023-01-01
Woodside,North Corona,2023-01-01,1.0,2.78,25.92,0.0,0.0,0.0,0.0,2023-01-01
Kew Gardens,South Ozone Park,2023-01-01,1.0,4.29,25.08,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Lincoln Square East,2023-01-01,1.0,2.53,18.75,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,Upper West Side North,2023-01-01,1.0,1.7,13.75,40.8116,-73.9465,40.787,-73.975,2023-01-01
Forest Hills,Outside of NYC,2023-01-01,1.0,10.44,59.52,0.0,0.0,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,Midtown South,2023-01-01,4.0,6.78,75.66,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,East Harlem North,2023-01-01,2.0,1.39,10.4,0.0,0.0,40.798,-73.937,2023-01-01
Steinway,Astoria,2023-01-01,1.0,1.31,15.0,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst/Maspeth,Elmhurst/Maspeth,2023-01-01,1.0,6.7,5.5,0.0,0.0,0.0,0.0,2023-01-01
Woodside,Forest Hills,2023-01-01,1.0,3.52,21.6,0.0,0.0,0.0,0.0,2023-01-01
Jamaica,Jamaica,2023-01-01,1.0,1.74,16.68,0.0,0.0,0.0,0.0,2023-01-01
Jamaica,Forest Hills,2023-01-01,1.0,2.31,20.2,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Steinway,2023-01-01,1.0,1.37,13.2,0.0,0.0,0.0,0.0,2023-01-01
Woodhaven,East Williamsburg,2023-01-01,1.0,10.35,49.6,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,East Harlem South,2023-01-01,6.0,1.05,8.16,40.8116,-73.9465,0.0,0.0,2023-01-01
Jackson Heights,Steinway,2023-01-01,5.0,3.23,21.72,0.0,0.0,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,Clinton East,2023-01-01,3.0,6.19,78.05,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Long Island City/Queens Plaza,2023-01-01,1.0,2.8,21.6,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Yorkville West,2023-01-01,1.0,1.13,15.78,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Lincoln Square West,2023-01-01,1.0,3.19,27.11,0.0,0.0,40.773,-73.984,2023-01-01
Forest Hills,Forest Hills,2023-01-01,1.0,1.26,13.32,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),East Williamsburg,2023-01-01,1.0,2.87,18.1,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Clinton East,2023-01-01,1.0,8.55,58.35,0.0,0.0,0.0,0.0,2023-01-01
Jamaica,Rego Park,2023-01-01,1.0,4.46,30.81,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Woodside,2023-01-01,1.0,1.18,13.0,0.0,0.0,0.0,0.0,2023-01-01
Hamilton Heights,Upper West Side North,2023-01-01,5.0,2.5,18.1,0.0,0.0,40.787,-73.975,2023-01-01
Morningside Heights,Westchester Village/Unionport,2023-01-01,5.0,9.01,39.8,40.81,-73.96,0.0,0.0,2023-01-01
Astoria,Steinway,2023-01-01,1.0,0.63,11.25,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Sunnyside,2023-01-01,1.0,2.08,16.0,0.0,0.0,0.0,0.0,2023-01-01
Bloomingdale,Upper West Side South,2023-01-01,1.0,1.47,19.83,40.797,-73.97,0.0,0.0,2023-01-01
Jackson Heights,Sunnyside,2023-01-01,2.0,7.83,54.5,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Sunnyside,2023-01-01,2.0,2.15,16.0,0.0,0.0,0.0,0.0,2023-01-01
Flushing,Prospect Heights,2023-01-01,1.0,12.73,53.8,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Central Harlem,2023-01-01,1.0,1.62,13.9,0.0,0.0,40.8116,-73.9465,2023-01-01
Central Harlem North,Mott Haven/Port Morris,2023-01-01,1.0,1.26,9.7,0.0,0.0,0.0,0.0,2023-01-01
Downtown Brooklyn/MetroTech,Midtown East,2023-01-01,2.0,7.3,37.8,0.0,0.0,0.0,0.0,2023-01-01
East Harlem North,Lenox Hill West,2023-01-01,1.0,2.73,22.93,40.798,-73.937,0.0,0.0,2023-01-01
East Harlem North,Central Harlem,2023-01-01,1.0,1.1,10.0,40.798,-73.937,40.8116,-73.9465,2023-01-01
Bedford,Brooklyn Heights,2023-01-01,1.0,2.5,18.1,0.0,0.0,0.0,0.0,2023-01-01
Manhattanville,Lenox Hill East,2023-01-01,2.0,4.9,38.46,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Long Island City/Hunters Point,2023-01-01,1.0,2.17,19.2,0.0,0.0,0.0,0.0,2023-01-01
East Harlem North,Manhattan Valley,2023-01-01,1.0,2.02,16.0,40.798,-73.937,0.0,0.0,2023-01-01
Central Harlem North,Hamilton Heights,2023-01-01,1.0,0.6,7.6,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,East Harlem North,2023-01-01,1.0,0.8,9.0,40.8116,-73.9465,40.798,-73.937,2023-01-01
DUMBO/Vinegar Hill,Red Hook,2023-01-01,1.0,2.39,24.38,0.0,0.0,0.0,0.0,2023-01-01
Sheepshead Bay,Sheepshead Bay,2023-01-01,1.0,1.1,8.0,0.0,0.0,0.0,0.0,2023-01-01
Greenpoint,East Williamsburg,2023-01-01,1.0,1.23,14.16,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),West Village,2023-01-01,1.0,4.9,43.56,0.0,0.0,0.0,0.0,2023-01-01
East Concourse/Concourse Village,Penn Station/Madison Sq West,2023-01-01,1.0,10.45,53.75,0.0,0.0,0.0,0.0,2023-01-01
Washington Heights North,University Heights/Morris Heights,2023-01-01,2.0,2.23,16.0,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst,Middle Village,2023-01-01,1.0,2.21,15.3,0.0,0.0,0.0,0.0,2023-01-01
Woodside,Yorkville East,2023-01-01,1.0,5.2,40.14,0.0,0.0,0.0,0.0,2023-01-01
Kew Gardens,Fresh Meadows,2023-01-01,1.0,5.25,24.4,0.0,0.0,0.0,0.0,2023-01-01
Greenpoint,Upper West Side North,2023-01-01,1.0,6.32,34.85,0.0,0.0,40.787,-73.975,2023-01-01
East Harlem South,East Harlem North,2023-01-01,1.0,0.53,8.3,0.0,0.0,40.798,-73.937,2023-01-01
East Harlem North,University Heights/Morris Heights,2023-01-01,1.0,3.82,25.08,40.798,-73.937,0.0,0.0,2023-01-01
East Harlem North,Lenox Hill East,2023-01-01,1.0,3.58,26.7,40.798,-73.937,0.0,0.0,2023-01-01
Central Harlem,Morningside Heights,2023-01-01,1.0,0.7,8.75,40.8116,-73.9465,40.81,-73.96,2023-01-01
Morningside Heights,Morningside Heights,2023-01-01,1.0,0.6,6.0,40.81,-73.96,40.81,-73.96,2023-01-01
Fort Greene,East Village,2023-01-01,1.0,2.91,26.7,0.0,0.0,0.0,0.0,2023-01-01
Morningside Heights,Sutton Place/Turtle Bay North,2023-01-01,2.0,5.13,38.31,40.81,-73.96,0.0,0.0,2023-01-01
Sheepshead Bay,South Ozone Park,2023-01-01,1.0,12.4,49.6,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst/Maspeth,Jackson Heights,2023-01-01,1.0,1.45,12.5,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Morningside Heights,2023-01-01,1.0,7.52,47.65,0.0,0.0,40.81,-73.96,2023-01-01
Jamaica,Jamaica,2023-01-01,1.0,1.81,13.2,0.0,0.0,0.0,0.0,2023-01-01
Jamaica,Kew Gardens Hills,2023-01-01,1.0,2.45,16.0,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Old Astoria,2023-01-01,1.0,0.54,9.12,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Old Astoria,2023-01-01,1.0,0.47,10.79,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Old Astoria,2023-01-01,1.0,1.16,12.48,0.0,0.0,0.0,0.0,2023-01-01
Old Astoria,Sunnyside,2023-01-01,1.0,15.39,68.5,0.0,0.0,0.0,0.0,2023-01-01
Woodside,East Harlem North,2023-01-01,2.0,5.34,59.55,0.0,0.0,40.798,-73.937,2023-01-01
East Harlem North,Upper West Side North,2023-01-01,1.0,2.56,20.85,40.798,-73.937,40.787,-73.975,2023-01-01
East Williamsburg,Long Island City/Hunters Point,2023-01-01,2.0,14.97,53.75,0.0,0.0,0.0,0.0,2023-01-01
Old Astoria,Astoria,2023-01-01,5.0,0.62,9.3,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Astoria,2023-01-01,5.0,0.87,13.1,0.0,0.0,0.0,0.0,2023-01-01
Old Astoria,Old Astoria,2023-01-01,2.0,0.01,191.0,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst,Woodside,2023-01-01,5.0,0.86,12.48,0.0,0.0,0.0,0.0,2023-01-01
Boerum Hill,Park Slope,2023-01-01,5.0,2.38,16.7,0.0,0.0,0.0,0.0,2023-01-01
Woodside,Steinway,2023-01-01,1.0,2.64,17.4,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Forest Hills,2023-01-01,1.0,11.34,60.0,0.0,0.0,0.0,0.0,2023-01-01
East Harlem North,East Harlem South,2023-01-01,1.0,1.61,13.35,40.798,-73.937,0.0,0.0,2023-01-01
Long Island City/Hunters Point,Queensbridge/Ravenswood,2023-01-01,1.0,2.0,15.84,0.0,0.0,0.0,0.0,2023-01-01
Greenpoint,Upper East Side South,2023-01-01,1.0,4.08,32.19,0.0,0.0,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,Central Harlem,2023-01-01,1.0,10.96,61.98,0.0,0.0,40.8116,-73.9465,2023-01-01
DUMBO/Vinegar Hill,UN/Turtle Bay South,2023-01-01,1.0,6.14,33.45,0.0,0.0,0.0,0.0,2023-01-01
Forest Hills,Glendale,2023-01-01,1.0,3.16,23.2,0.0,0.0,0.0,0.0,2023-01-01
Jamaica,Baisley Park,2023-01-01,1.0,1.67,18.98,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Bushwick South,2023-01-01,1.0,6.53,33.5,0.0,0.0,0.0,0.0,2023-01-01
East Williamsburg,Steinway,2023-01-01,1.0,6.81,38.52,0.0,0.0,0.0,0.0,2023-01-01
Brooklyn Heights,Upper East Side South,2023-01-01,1.0,8.07,46.86,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Woodside,2023-01-01,1.0,1.71,15.3,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst,Woodhaven,2023-01-01,1.0,5.22,28.6,0.0,0.0,0.0,0.0,2023-01-01
Sunnyside,Jackson Heights,2023-01-01,2.0,3.59,30.7,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Middle Village,2023-01-01,2.0,2.08,14.6,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,Upper East Side South,2023-01-01,1.0,2.9,22.15,40.8116,-73.9465,0.0,0.0,2023-01-01
Woodside,Elmhurst,2023-01-01,1.0,1.71,17.3,0.0,0.0,0.0,0.0,2023-01-01
Woodside,Jackson Heights,2023-01-01,5.0,1.17,11.8,0.0,0.0,0.0,0.0,2023-01-01
Woodside,Sunnyside,2023-01-01,1.0,1.52,17.16,0.0,0.0,0.0,0.0,2023-01-01
Morningside Heights,Central Harlem North,2023-01-01,1.0,1.52,13.9,40.81,-73.96,0.0,0.0,2023-01-01
Central Harlem,Murray Hill,2023-01-01,1.0,4.62,27.85,40.8116,-73.9465,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,Crown Heights North,2023-01-01,1.0,3.8,17.5,0.0,0.0,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,East Williamsburg,2023-01-01,1.0,3.5,26.26,0.0,0.0,0.0,0.0,2023-01-01
Long Island City/Hunters Point,Steinway,2023-01-01,1.0,4.12,26.5,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Park Slope,2023-01-01,1.0,6.39,38.09,0.0,0.0,0.0,0.0,2023-01-01
Morningside Heights,Central Harlem,2023-01-01,1.0,1.18,11.8,40.81,-73.96,40.8116,-73.9465,2023-01-01
Central Harlem,Manhattan Valley,2023-01-01,1.0,1.53,11.8,40.8116,-73.9465,0.0,0.0,2023-01-01
Central Harlem North,Central Harlem,2023-01-01,1.0,1.1,9.7,0.0,0.0,40.8116,-73.9465,2023-01-01
Central Harlem North,Washington Heights South,2023-01-01,1.0,1.9,13.2,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Greenpoint,2023-01-01,1.0,1.75,14.6,0.0,0.0,0.0,0.0,2023-01-01
Red Hook,TriBeCa/Civic Center,2023-01-01,1.0,4.29,29.22,0.0,0.0,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,Bushwick South,2023-01-01,1.0,3.5,27.7,0.0,0.0,0.0,0.0,2023-01-01
Cobble Hill,Fort Greene,2023-01-01,1.0,1.7,18.98,0.0,0.0,0.0,0.0,2023-01-01
Greenpoint,Bedford,2023-01-01,1.0,4.29,26.5,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Midtown East,2023-01-01,1.0,3.92,32.57,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Clinton East,2023-01-01,1.0,3.84,29.22,0.0,0.0,0.0,0.0,2023-01-01
Mount Hope,Mount Hope,2023-01-01,2.0,0.01,5.5,0.0,0.0,0.0,0.0,2023-01-01
Old Astoria,Astoria,2023-01-01,1.0,0.32,31.62,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,Yorkville East,2023-01-01,1.0,1.68,17.25,40.8116,-73.9465,0.0,0.0,2023-01-01
East Harlem North,Hamilton Heights,2023-01-01,1.0,3.11,18.1,40.798,-73.937,0.0,0.0,2023-01-01
Forest Hills,Forest Park/Highland Park,2023-01-01,1.0,1.26,11.8,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst,Elmhurst,2023-01-01,1.0,2.1,14.6,0.0,0.0,0.0,0.0,2023-01-01
Jamaica,Springfield Gardens South,2023-01-01,1.0,5.34,30.12,0.0,0.0,0.0,0.0,2023-01-01
Sheepshead Bay,Sheepshead Bay,2023-01-01,1.0,0.8,11.65,0.0,0.0,0.0,0.0,2023-01-01
Manhattanville,Morningside Heights,2023-01-01,1.0,0.82,19.2,0.0,0.0,40.81,-73.96,2023-01-01
Morningside Heights,Washington Heights North,2023-01-01,1.0,3.79,20.9,40.81,-73.96,0.0,0.0,2023-01-01
East Harlem South,Upper East Side North,2023-01-01,1.0,0.84,15.56,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Morningside Heights,2023-01-01,1.0,3.27,24.9,0.0,0.0,40.81,-73.96,2023-01-01
Central Harlem,Morningside Heights,2023-01-01,1.0,0.64,7.6,40.8116,-73.9465,40.81,-73.96,2023-01-01
Central Harlem,Hamilton Heights,2023-01-01,6.0,2.18,14.16,40.8116,-73.9465,0.0,0.0,2023-01-01
Manhattanville,Steinway,2023-01-01,6.0,5.52,35.55,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Sunnyside,2023-01-01,2.0,2.57,21.72,0.0,0.0,0.0,0.0,2023-01-01
Steinway,Corona,2023-01-01,1.0,4.38,26.5,0.0,0.0,0.0,0.0,2023-01-01
Bushwick North,Bushwick North,2023-01-01,2.0,0.09,120.36,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Jackson Heights,2023-01-01,1.0,6.03,32.8,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Lincoln Square West,2023-01-01,1.0,3.03,24.6,0.0,0.0,40.773,-73.984,2023-01-01
Long Island City/Hunters Point,Greenpoint,2023-01-01,1.0,2.09,20.04,0.0,0.0,0.0,0.0,2023-01-01
Greenpoint,Greenwich Village South,2023-01-01,1.0,4.87,52.5,0.0,0.0,0.0,0.0,2023-01-01
Forest Hills,Forest Hills,2023-01-01,1.0,1.33,11.8,0.0,0.0,0.0,0.0,2023-01-01
Mott Haven/Port Morris,Mott Haven/Port Morris,2023-01-01,1.0,0.47,11.0,0.0,0.0,0.0,0.0,2023-01-01
Fort Greene,Sutton Place/Turtle Bay North,2023-01-01,1.0,7.33,46.19,0.0,0.0,0.0,0.0,2023-01-01
Central Park,Midtown Center,2023-01-01,1.0,3.19,22.5,40.7812,-73.9665,0.0,0.0,2023-01-01
Williamsburg (South Side),Prospect Heights,2023-01-01,1.0,3.63,23.0,0.0,0.0,0.0,0.0,2023-01-01
Boerum Hill,Columbia Street,2023-01-01,1.0,1.11,10.4,0.0,0.0,0.0,0.0,2023-01-01
Boerum Hill,Greenpoint,2023-01-01,1.0,4.7,24.4,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem North,East Harlem South,2023-01-01,5.0,1.78,14.6,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Corona,2023-01-01,2.0,2.36,19.5,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst,Jackson Heights,2023-01-01,2.0,6.16,43.3,0.0,0.0,0.0,0.0,2023-01-01
North Corona,Steinway,2023-01-01,2.0,5.87,27.9,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Flatiron,2023-01-01,1.0,4.84,91.3,0.0,0.0,0.0,0.0,2023-01-01
Woodside,Woodside,2023-01-01,5.0,0.55,8.3,0.0,0.0,0.0,0.0,2023-01-01
Park Slope,Bedford,2023-01-01,5.0,2.11,19.12,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Astoria,2023-01-01,1.0,2.37,17.4,0.0,0.0,0.0,0.0,2023-01-01
Greenpoint,Bushwick North,2023-01-01,1.0,3.68,25.7,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Upper West Side South,2023-01-01,1.0,1.53,16.73,0.0,0.0,0.0,0.0,2023-01-01
East Harlem North,Central Harlem North,2023-01-01,1.0,1.74,13.2,40.798,-73.937,0.0,0.0,2023-01-01
Cobble Hill,Carroll Gardens,2023-01-01,1.0,1.0,7.0,0.0,0.0,0.0,0.0,2023-01-01
Boerum Hill,Prospect-Lefferts Gardens,2023-01-01,1.0,3.0,19.8,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst,Cypress Hills,2023-01-01,1.0,9.63,46.15,0.0,0.0,0.0,0.0,2023-01-01
Westerleigh,Westerleigh,2023-01-01,1.0,4.9,31.55,0.0,0.0,0.0,0.0,2023-01-01
Carroll Gardens,West Village,2023-01-01,1.0,4.1,25.75,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem North,Central Harlem North,2023-01-01,1.0,0.47,8.3,0.0,0.0,0.0,0.0,2023-01-01
Glen Oaks,Glen Oaks,2023-01-01,1.0,1.3,90.0,0.0,0.0,0.0,0.0,2023-01-01
Glen Oaks,Glen Oaks,2023-01-01,1.0,1.3,60.0,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Flushing,2023-01-01,1.0,6.84,32.8,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Prospect Heights,2023-01-01,1.0,4.32,28.5,0.0,0.0,0.0,0.0,2023-01-01
Greenpoint,Central Park,2023-01-01,1.0,11.56,54.45,0.0,0.0,40.7812,-73.9665,2023-01-01
East Harlem South,Upper East Side North,2023-01-01,1.0,1.33,14.85,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,UN/Turtle Bay South,2023-01-01,1.0,3.57,20.85,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem North,Marble Hill,2023-01-01,2.0,5.7,27.2,0.0,0.0,0.0,0.0,2023-01-01
Hamilton Heights,Central Harlem North,2023-01-01,2.0,2.09,16.7,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Jackson Heights,2023-01-01,1.0,0.72,26.39,0.0,0.0,0.0,0.0,2023-01-01
Maspeth,Maspeth,2023-01-01,4.0,0.03,50.3,0.0,0.0,0.0,0.0,2023-01-01
Flushing,College Point,2023-01-01,1.0,1.85,14.6,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Corona,2023-01-01,1.0,2.62,20.2,0.0,0.0,0.0,0.0,2023-01-01
Bushwick North,Prospect Heights,2023-01-01,2.0,4.3,22.5,0.0,0.0,0.0,0.0,2023-01-01
Forest Hills,Steinway,2023-01-01,1.0,6.74,35.4,0.0,0.0,0.0,0.0,2023-01-01
Crown Heights North,Crown Heights North,2023-01-01,2.0,0.04,31.3,0.0,0.0,0.0,0.0,2023-01-01
Brooklyn Heights,Brooklyn Heights,2023-01-01,1.0,0.12,36.36,0.0,0.0,0.0,0.0,2023-01-01
Van Cortlandt Village,Hamilton Heights,2023-01-01,3.0,6.78,32.8,0.0,0.0,0.0,0.0,2023-01-01
Steinway,Queensbridge/Ravenswood,2023-01-01,1.0,2.34,21.75,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst,East Elmhurst,2023-01-01,1.0,3.2,19.4,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst/Maspeth,Elmhurst,2023-01-01,1.0,3.49,28.6,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (South Side),Williamsburg (South Side),2023-01-01,1.0,0.02,35.3,0.0,0.0,0.0,0.0,2023-01-01
Old Astoria,Astoria,2023-01-01,1.0,1.62,16.68,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,Old Astoria,2023-01-01,1.0,4.05,37.51,40.8116,-73.9465,0.0,0.0,2023-01-01
Williamsburg (South Side),Jackson Heights,2023-01-01,1.0,6.65,37.7,0.0,0.0,0.0,0.0,2023-01-01
East Harlem North,East Harlem South,2023-01-01,6.0,1.53,9.96,40.798,-73.937,0.0,0.0,2023-01-01
Old Astoria,Steinway,2023-01-01,2.0,1.28,14.16,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Sunnyside,2023-01-01,5.0,2.0,17.4,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Jackson Heights,2023-01-01,1.0,1.11,13.9,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Jackson Heights,2023-01-01,1.0,1.26,15.84,0.0,0.0,0.0,0.0,2023-01-01
East Williamsburg,Park Slope,2023-01-01,3.0,5.91,93.96,0.0,0.0,0.0,0.0,2023-01-01
Long Island City/Queens Plaza,Astoria,2023-01-01,1.0,1.02,13.88,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (South Side),Crown Heights North,2023-01-01,1.0,3.02,25.08,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (South Side),Jackson Heights,2023-01-01,1.0,5.52,36.0,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,Morningside Heights,2023-01-01,1.0,0.82,10.8,40.8116,-73.9465,40.81,-73.96,2023-01-01
Jackson Heights,East Elmhurst,2023-01-01,1.0,0.69,9.7,0.0,0.0,0.0,0.0,2023-01-01
Crown Heights North,Downtown Brooklyn/MetroTech,2023-01-01,1.0,2.04,21.71,0.0,0.0,0.0,0.0,2023-01-01
Greenpoint,Williamsburg (North Side),2023-01-01,1.0,0.73,9.96,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Windsor Terrace,2023-01-01,1.0,8.17,38.9,0.0,0.0,0.0,0.0,2023-01-01
Boerum Hill,Crown Heights North,2023-01-01,1.0,1.97,18.07,0.0,0.0,0.0,0.0,2023-01-01
Hamilton Heights,Washington Heights North,2023-01-01,1.0,3.67,20.9,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Jackson Heights,2023-01-01,2.0,5.29,48.9,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Steinway,2023-01-01,1.0,0.86,10.4,0.0,0.0,0.0,0.0,2023-01-01
Park Slope,Park Slope,2023-01-01,1.0,1.52,13.32,0.0,0.0,0.0,0.0,2023-01-01
Park Slope,Erasmus,2023-01-01,1.0,3.09,23.4,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (South Side),Cobble Hill,2023-01-01,1.0,5.1,30.1,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Astoria,2023-01-01,1.0,6.9,39.35,0.0,0.0,0.0,0.0,2023-01-01
Park Slope,Fort Greene,2023-01-01,1.0,1.31,15.34,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem North,Highbridge,2023-01-01,1.0,6.41,50.3,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,Fort Greene,2023-01-01,1.0,11.89,54.45,40.8116,-73.9465,0.0,0.0,2023-01-01
Longwood,Van Cortlandt Village,2023-01-01,3.0,5.95,30.0,0.0,0.0,0.0,0.0,2023-01-01
