pickup_zone,dropoff_zone,pickup_date,passenger_count,trip_distance,total_amount,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_datetime
Forest Hills,Forest Hills,2023-01-21,1.0,0.76,16.5,0.0,0.0,0.0,0.0,2023-01-21
Central Park,Upper East Side South,2023-01-21,1.0,2.21,22.55,40.7812,-73.9665,0.0,0.0,2023-01-21
Central Park,UN/Turtle Bay South,2023-01-21,1.0,4.19,28.25,40.7812,-73.9665,0.0,0.0,2023-01-21
East Harlem North,Manhattan Valley,2023-01-21,1.0,2.08,19.68,40.798,-73.937,0.0,0.0,2023-01-21
East Harlem South,East Harlem North,2023-01-21,1.0,0.24,5.9,0.0,0.0,40.798,-73.937,2023-01-21
East Harlem North,Hamilton Heights,2023-01-21,1.0,3.0,23.4,40.798,-73.937,0.0,0.0,2023-01-21
Downtown Brooklyn/MetroTech,Gowanus,2023-01-21,1.0,1.42,17.16,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Bloomingdale,2023-01-21,1.0,1.93,21.38,40.798,-73.937,40.797,-73.97,2023-01-21
Downtown Brooklyn/MetroTech,Park Slope,2023-01-21,1.0,2.31,19.9,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Central Harlem,2023-01-21,1.0,0.65,7.3,40.798,-73.937,40.8116,-73.9465,2023-01-21
East Harlem South,Midtown East,2023-01-21,1.0,2.66,21.65,0.0,0.0,0.0,0.0,2023-01-21
Woodside,Astoria,2023-01-21,1.0,2.1,20.41,0.0,0.0,0.0,0.0,2023-01-21
Woodside,Steinway,2023-01-21,1.0,2.96,17.8,0.0,0.0,0.0,0.0,2023-01-21
Downtown Brooklyn/MetroTech,Bushwick South,2023-01-21,1.0,3.2,28.05,0.0,0.0,0.0,0.0,2023-01-21
Downtown Brooklyn/MetroTech,Long Island City/Hunters Point,2023-01-21,1.0,6.0,38.16,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Upper West Side North,2023-01-21,1.0,1.59,16.26,0.0,0.0,40.787,-73.975,2023-01-21
Upper East Side North,Upper East Side South,2023-01-21,1.0,1.98,19.05,0.0,0.0,0.0,0.0,2023-01-21
Soundview/Castle Hill,Belmont,2023-01-21,1.0,4.51,21.3,0.0,0.0,0.0,0.0,2023-01-21
Downtown Brooklyn/MetroTech,Williamsburg (South Side),2023-01-21,1.0,3.92,25.56,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,East Harlem North,2023-01-21,2.0,0.87,8.0,40.798,-73.937,40.798,-73.937,2023-01-21
Central Harlem,Upper West Side South,2023-01-21,1.0,2.1,19.6,40.8116,-73.9465,0.0,0.0,2023-01-21
Upper East Side North,Manhattan Valley,2023-01-21,1.0,1.65,12.9,0.0,0.0,0.0,0.0,2023-01-21
Central Park,Greenwich Village South,2023-01-21,1.0,6.81,46.5,40.7812,-73.9665,0.0,0.0,2023-01-21
Forest Hills,Forest Hills,2023-01-21,1.0,0.76,12.12,0.0,0.0,0.0,0.0,2023-01-21
Sunset Park West,Sheepshead Bay,2023-01-21,1.0,12.9,46.0,0.0,0.0,0.0,0.0,2023-01-21
Prospect-Lefferts Gardens,Park Slope,2023-01-21,1.0,2.21,15.8,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst,Kew Gardens Hills,2023-01-21,1.0,3.7,18.5,0.0,0.0,0.0,0.0,2023-01-21
Upper East Side North,Upper East Side South,2023-01-21,1.0,1.37,16.81,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Lincoln Square East,2023-01-21,1.0,2.58,19.53,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,DUMBO/Vinegar Hill,2023-01-21,1.0,1.6,18.0,0.0,0.0,0.0,0.0,2023-01-21
Central Harlem,Hamilton Heights,2023-01-21,2.0,2.28,17.1,40.8116,-73.9465,0.0,0.0,2023-01-21
